importId;code;parent_code;name;accountType.importId;isRegulatoryAccount;commonPosition;reconcileOk;compatibleAccounts;useForPartnerBalance;isTaxAuthorizedOnMoveLine;isTaxRequiredOnMoveLine;defaultTaxSet;vatSystemSelect;isRetrievedOnPaymentSession;serviceType.code;manageCutOffPeriod;hasAutomaticApplicationAccountingDate;analyticDistributionAuthorized;analyticDistributionRequiredOnInvoiceLines;analyticDistributionRequiredOnMoveLines;analyticDistributionTemplate.importId;statusSelect;isCNCJ
A001;0;;Racine PCG;AT001;true;0;;;;;;;;;;;;;;;;1;false
A002;10;CL1;Capital et réserves;AT001;true;0;;;;;;;;;;;;;;;;1;false
A003;11;CL1;Report à nouveau (solde créditeur ou débiteur);AT001;true;0;;;;;;;;;;;;;;;;1;false
A004;12;CL1;Résultat de l'exercice (bénéfice ou perte);AT001;true;0;;;;;;;;;;;;;;;;1;false
A005;13;CL1;Subventions d'investissement;AT001;true;0;;;;;;;;;;;;;;;;1;false
A006;14;CL1;Provisions réglementées;AT001;true;0;;;;;;;;;;;;;;;;1;false
A007;15;CL1;Provisions;AT001;true;0;;;;;;;;;;;;;;;;1;false
A008;16;CL1;Emprunts et dettes assimilées;AT001;true;0;;;;;;;;;;;;;;;;1;false
A009;17;CL1;Dettes rattachées à des participations;AT001;true;0;;;;;;;;;;;;;;;;1;false
A010;18;CL1;Comptes de liaison des établissements et sociétés en participation;AT001;true;0;;;;;;;;;;;;;;;;1;false
A011;20;CL2;Immobilisations incorporelles;AT001;true;0;;;;;;;;;;;;;;;;1;false
A012;21;CL2;Immobilisations corporelles;AT001;true;0;;;;;;;;;;;;;;;;1;false
A013;22;CL2;Immobilisations mises en concession;AT001;true;0;;;;;;;;;;;;;;;;1;false
A014;23;CL2;Immobilisations en cours;AT001;true;0;;;;;;;;;;;;;;;;1;false
A015;25;CL2;Parts dans des entreprises liées et créances dans des entreprises liées;AT001;true;0;;;;;;;;;;;;;;;;1;false
A016;26;CL2;Participations et créances rattachées à des participations;AT001;true;0;;;;;;;;;;;;;;;;1;false
A017;27;CL2;Autres immobilisations financières;AT001;true;0;;;;;;;;;;;;;;;;1;false
A018;28;CL2;Amortissement des immobilisations;AT001;true;0;;;;;;;;;;;;;;;;1;false
A019;29;CL2;Dépréciations des immobilisations;AT001;true;0;;;;;;;;;;;;;;;;1;false
A020;30;CL3;Matières premières (et fournitures);AT001;true;0;;;;;;;;;;;;;;;;1;false
A021;32;CL3;Autres approvisionnements;AT001;true;0;;;;;;;;;;;;;;;;1;false
A022;33;CL3;En-cours de production de biens;AT001;true;0;;;;;;;;;;;;;;;;1;false
A023;34;CL3;En-cours de production de services;AT001;true;0;;;;;;;;;;;;;;;;1;false
A024;35;CL3;Stocks de produits;AT001;true;0;;;;;;;;;;;;;;;;1;false
A025;36;CL3;Stocks provenant d'immobilisations;AT001;true;0;;;;;;;;;;;;;;;;1;false
A026;37;CL3;Stocks de marchandises;AT001;true;0;;;;;;;;;;;;;;;;1;false
A027;38;CL3;Stocks en voie d'acheminement, mis en dépôt ou donnés en consignation;AT001;true;0;;;;;;;;;;;;;;;;1;false
A028;39;CL3;Dépréciations des stocks et en-cours;AT001;true;0;;;;;;;;;;;;;;;;1;false
A029;40;CL4;Fournisseurs et comptes rattachés;AT001;true;0;;;;;;;;;;;;;;;;1;false
A030;41;CL4;Clients et comptes rattachés;AT001;true;0;;;;;;;;;;;;;;;;1;false
A031;42;CL4;Personnel et comptes rattachés;AT001;true;0;;;;;;;;;;;;;;;;1;false
A032;43;CL4;Sécurité Sociale et autres organismes sociaux;AT001;true;0;;;;;;;;;;;;;;;;1;false
A033;44;CL4;État et autres collectivités publiques;AT001;true;0;;;;;;;;;;;;;;;;1;false
A034;45;CL4;Groupe et associés;AT001;true;0;;;;;;;;;;;;;;;;1;false
A035;46;CL4;Débiteurs divers et créditeurs divers;AT001;true;0;;;;;;;;;;;;;;;;1;false
A036;47;CL4;Comptes transitoires ou d'attente;AT001;true;0;;;;;;;;;;;;;;;;1;false
A037;48;CL4;Comptes de régularisation;AT001;true;0;;;;;;;;;;;;;;;;1;false
A038;49;CL4;Dépréciations des comptes de tiers;AT001;true;0;;;;;;;;;;;;;;;;1;false
A039;50;CL5;Valeurs mobilières de placement;AT001;true;0;;;;;;;;;;;;;;;;1;false
A040;51;CL5;Banques, établissements financiers et assimilés;AT001;true;0;;;;;;;;;;;;;;;;1;false
A041;52;CL5;Instruments financiers à terme et jetons détenus;AT001;true;0;;;;;;;;;;;;;;;;1;false
