N° de compte;Intitulé du compte;Catégorie
1010000;Capital;PCG
1011000;Capital souscrit - non appelé;PCG
1012000;Capital souscrit - appelé, non versé;PCG
1013000;Capital souscrit - appelé, versé;PCG
1018000;Capital souscrit soumis à des réglementations particulières;PCG
1020000;Fonds fiduciaires;PCG
1040000;Primes liées au capital social;PCG
1041000;Primes d'émission;PCG
1042000;Primes de fusion;PCG
1043000;Primes d'apport;PCG
1044000;Primes de conversion d'obligations en actions;PCG
1045000;Bons de souscription d'actions;PCG
1050000;Ecarts de réévaluation;PCG
1060000;Réserves;PCG
1061100;Réserves légakes;PCG
1062000;Réserves indisponibles;PCG
1063000;Réserves statutaires ou contractuelles;PCG
1064000;Réserves réglementées;PCG
1068000;Autres réserves;PCG
1070000;Ecart d'équivalence;PCG
1080000;Compte du commissaire de justice;CNCJ
1090000;Actionnaires : capital souscrit - non appelé;PCG
1100000;Report à nouveau - solde débiteur;PCG
1190000;Report à nouveau - solde créditeur;PCG
1200000;"Résultat de l""exercice - Bénéfice";PCG
1209000;Acomptes sur dividendes;PCG
1290000;Résultat de l'exercice - Perte;PCG
1310000;Subventions d'investissement octroyées;PCG
1390000;Subventions d'investissement inscrites au compte de résultat;PCG
1430000;Provisions réglementées pour hausse de prix;PCG
1450000;Amortissements dérogatoires;PCG
1480000;Autres provisions réglementées;PCG
1510000;Provisions pour risques;PCG
1511000;Provisions pour litiges;PCG
1512000;Provisions pour garanties données aux clients;PCG
1514000;Provisions pour amendes et pénalités;PCG
1515000;Provisions pour pertes de change;PCG
1516000;Provision pour pertes sur contrats;PCG
1518000;Autres provisions pour risques;PCG
1520000;Provisions pour charges;PCG
1521000;Provsions pour pensions et obligations similaires;PCG
1522000;Provisions pour restructuration;PCG
1523000;Provisions pour impôts;PCG
1524000;Provisions pour renouvellement des immobilisations - entreprises concessionnaires;PCG
1525000;Provisions pour gros entretien ou grandes révisions;PCG
1526000;Provisions pour remise en état;PCG
1527000;Autres provisions pour charges;PCG
1610000;Emprunts obligataires convertibles;PCG
1618000;Intérêts courus sur emprunts obligataires convertibles;PCG
1620000;Obligations réprésentatives de passifs nets remis en fiducie;PCG
1630000;Autres emprunts obligatires;PCG
1638000;Intérêts courus sur autres emprunts obligataires;PCG
1640000;Emprunts auprès des établissements de crédits;PCG
1648000;Intérêts courus sur emprunts auprès des établissements de crédit;PCG
1650000;Dépôts et cautionnements reçus;PCG
1651000;Dépôts;PCG
1655000;Cautionnements;PCG
1658000;Intérêts courus sur dépôts et cautionnements reçus;PCG
1660000;Participation des salariés aux résultats;PCG
1661000;Comptes bloqués;PCG
1662000;Fons de participation;PCG
