"account_title";"original_client_code";"final_code"
"Capital";"10100000";"1010000"
"COMPTE DE L'EXPLOITANT";"10890000";"1089000"
"COMPTE DE RESULTAT";"12000000";"1200000"
"EMPRUNTS BNP";"16412000";"1641200"
"Fonds commercial";"20700000";"2070000"
"Titres immobilisés (droit de propriété)";"27100000";"2710000"
"Collectif";"40100000";"4010000"
"Collectif";"41100000";"4110000"
"TVA à décaisser";"44551000";"4455100"
"TVA S/BIENS ET SERVICES";"44566000";"4456600"
"TVA Déductible Code 31 Assuj TVA 20%";"44566310";"4456640"
"TVA CREDIT REPORTABLE";"44567000";"4456700"
"TVA COLLECTEE";"44571000";"4457110"
"TVA Collectée Code 31 Assuj TVA 20%";"44571031";"4457113"
"TVA Collectée Code 32 Non Assuj TVA 20%";"44571032";"4457113"
"TCA à régulariser ou en attente";"44580000";"4458000"
"LANDES ENCHERES";"46700000";"4670000"
"Produit de Vente 31- Assuj TVA 20%";"47031000";"4682030"
"Produit de Vente- 32 Non Assuj TVA 20%";"47032000";"4682060"
"Compte d'attente";"47100000";"4710000"
"BNP Clientèle-compte affecté";"51200000";"5420000"
"BNP cpte Exploitation-fonctionnement Etude";"51211400";"5121140"
"BANQUE BAMI-fonctionnement Etude";"51211500";"5121150"
"CAISSE";"53000000";"5300000"
"VIREMENTS INTERNES";"58000000";"5800000"
"LOCATION DE MATERIEL";"61350000";"6135000"
"ASSURANCES";"61600000";"6160000"
"Primes d'assurances";"61690000";"6169000"
"HONORAIRES";"62260000";"6226000"
"PUB/VENTES";"62281000";"6228100"
"FRAIS SUR VENTES";"62282000";"6228200"
"FRAIS DE DEPLACEMENT";"62510000";"6251000"
"IK Mr DAUCHEZ";"62511000";"6251100"
"RECEPTION";"62560000";"6256000"
"FRAIS PTT";"62610000";"6261000"
"FRAIS FINANCIERS";"62700000";"6270000"
"COTISATIONS";"62810000";"6281000"
"CHARGES SOCIALES /PERSON.";"64600000";"6460000"
"Charges diverses de gestion courante";"65800000";"6580000"
"Charges exc.op.de gestion";"67100000";"6710000"
"PENALITES AMENDES FISCALE";"67120000";"6712000"
"AMENDES FISCALES";"67122000";"6712200"
"Publicité Code 31 Assujetti TVA 20%";"70203100";"7061406"
"Publicité JOURNAL SUD OUEST";"70208000";"7068000"
"Hon.5%Vendeurs Ass.20% code31";"70600310";"7061406"
"Hon.5%Vendeurs N.Ass20% code 32";"70600320";"7061406"
"Hon.12%Acheteur-ASS.20%-Code 31";"70613100";"7061403"
"Hon.12%Achet.Non ASS.20% Code 32";"70613200";"7061403"
"HONORAIRES FRAIS/VENTES";"70621000";"7061400"
"HONORAIRES DIVERS INVT.";"70622000";"7061400"
"DEBOURS INVENTAIRES";"70623000";"7068000"
"FRAIS RECUPERES NON ASS";"70632000";"7063200"
"Frais/vente Transport-déménagement";"70636100";"7068000"
"Frais/vente déplac. 0.587 ou 0.75";"70636200";"7068000"
"Frais/vente divers";"70636500";"7068000"
"Frais récupérés/acheteurs";"70637000";"7063700"
"Arrangement Préparation Assistance vente";"70638000";"7068000"
"CONTROLE + 5 ANS";"70670000";"7068000"
"PERTES ET PROFITS";"77100000";"7710000"
"Autres produits except.";"77180000";"7718000"
