importId;company.importId;codeSelect;name;sequenceTypeSelect;sequenceLettersTypeSelect;nextNum;padding;prefixe;suffixe;toBeAdded;yearlyResetOk
S001;C001;invoice;Facture de vente;NUMBERS;UPPERCASE;1;5;FC%YY;;1;1
S002;C001;move;Ecriture Vente;NUMBERS;UPPERCASE;1;7;VTE%YY;;1;1
S003;C001;accountingReport;Reporting comptable;NUMBERS;UPPERCASE;1;4;REPCPT%YY;;1;1
S004;C001;reconcile;Réconciliation comptable;NUMBERS;UPPERCASE;1;4;RECON%YY%M;;1;1
S005;C001;reconcileGroupDraft;Lettrage non définitif;LETTERS;LOWERCASE;1;4;;;1;0
S006;C001;reconcileGroupFinal;Lettrage définitif;LETTERS;UPPERCASE;1;4;;;1;0
S007;C001;fixedAsset;N° Immobilisations;NUMBERS;UPPERCASE;1;3;IMMO%YYYY;;1;1
S008;C001;paymentSession;N° Session paiement;NUMBERS;UPPERCASE;1;5;PMTS%YY;;1;1
S009;C001;paymentVoucher;N° de paiement enc. virement ;NUMBERS;UPPERCASE;1;6;ENCVIR%YY;;1;1
S010;C001;paymentVoucherReceiptNo;N° de reçu;NUMBERS;UPPERCASE;1;4;RECU%YY;;1;1
S011;C001;debit;Prélèvement (facture et echeanciers hors mensu);NUMBERS;UPPERCASE;1;4;PRLFAC%YY;;1;1
S012;C001;debitReject;Rejet des prélèvements;NUMBERS;UPPERCASE;1;4;PRLREJ%YY;;1;1
S013;C001;depositSlip;Bordereau de remise;NUMBERS;UPPERCASE;1;4;BR%YY%FM;;1;1
S014;C001;chequeReject;Rejet chèques;NUMBERS;UPPERCASE;1;4;REJCHQ%YY;;1;1
S015;C001;paymentSchedule;N° écheancier;NUMBERS;UPPERCASE;1;4;ECH%YY;;1;1
S016;C001;subrogationRelease;Quittance subrogative;NUMBERS;UPPERCASE;1;4;QS%YY%FM;;1;1
S017;C001;irrecoverable;Passage en irrécouvrable;NUMBERS;UPPERCASE;1;4;IRRECO%YY;;1;1
