importId;code;parent_code;name;accountType.importId;isRegulatoryAccount;commonPosition;reconcileOk;compatibleAccounts;useForPartnerBalance;isTaxAuthorizedOnMoveLine;isTaxRequiredOnMoveLine;defaultTaxSet;vatSystemSelect;isRetrievedOnPaymentSession;serviceType.code;manageCutOffPeriod;hasAutomaticApplicationAccountingDate;analyticDistributionAuthorized;analyticDistributionRequiredOnInvoiceLines;analyticDistributionRequiredOnMoveLines;analyticDistributionTemplate.importId;statusSelect;
;A001;0;;Racine PCG;AT001;true;0;;;;;;;;;;;;;;;;1
;A002;10;CL1;Capital et réserves;AT001;true;0;;;;;;;;;;;;;;;;1
;A003;11;CL1;Report à nouveau (solde créditeur ou débiteur);AT001;true;0;;;;;;;;;;;;;;;;1
;A004;12;CL1;Résultat de l'exercice (bénéfice ou perte);AT001;true;0;;;;;;;;;;;;;;;;1
;A005;13;CL1;Subventions d'investissement;AT001;true;0;;;;;;;;;;;;;;;;1
;A006;14;CL1;Provisions réglementées;AT001;true;0;;;;;;;;;;;;;;;;1
;A007;15;CL1;Provisions;AT001;true;0;;;;;;;;;;;;;;;;1
;A008;16;CL1;Emprunts et dettes assimilées;AT001;true;0;;;;;;;;;;;;;;;;1
;A009;17;CL1;Dettes rattachées à des participations;AT001;true;0;;;;;;;;;;;;;;;;1
;A010;18;CL1;Comptes de liaison des établissements et sociétés en participation;AT001;true;0;;;;;;;;;;;;;;;;1
;A011;20;CL2;Immobilisations incorporelles;AT001;true;0;;;;;;;;;;;;;;;;1
;A012;21;CL2;Immobilisations corporelles;AT001;true;0;;;;;;;;;;;;;;;;1
;A013;22;CL2;Immobilisations mises en concession;AT001;true;0;;;;;;;;;;;;;;;;1
;A014;23;CL2;Immobilisations en cours;AT001;true;0;;;;;;;;;;;;;;;;1
;A015;25;CL2;Parts dans des entreprises liées et créances dans des entreprises liées;AT001;true;0;;;;;;;;;;;;;;;;1
;A016;26;CL2;Participations et créances rattachées à des participations;AT001;true;0;;;;;;;;;;;;;;;;1
